,tickerName,shortName,sector,ask,previousClose,open,currency,trailingPE,forwardPE
0,MMM,3M Company,Industrials,0.0,173.64,174.5,USD,20.100855,18.137566
1,AAPL,Apple Inc.,Technology,0.0,119.39,118.61,USD,35.984756,27.258661
2,ABT,Abbott Laboratories,Healthcare,0.0,113.06,113.67,USD,58.04865,24.947725
3,ABBV,AbbVie Inc.,Healthcare,0.0,99.21,100.0,USD,21.5923,8.098442
4,ABMD,"ABIOMED, Inc.",Healthcare,0.0,269.93,268.34,USD,58.507687,52.19804
5,ACN,Accenture plc,Technology,0.0,243.82,243.36,USD,30.364788,27.057562
6,ADBE,Adobe Inc.,Technology,0.0,467.95,466.71,USD,57.86776,41.13429
7,ATVI,"Activision Blizzard, Inc",Communication Services,0.0,77.11,76.9453,USD,26.500526,21.327684
8,AIG,"American International Group, I",Financial Services,0.0,38.42,38.25,USD,0.0,8.8417425
9,ALL,Allstate Corporation (The),Financial Services,0.0,99.37,99.56,USD,7.008122,8.26507
10,AMD,"Advanced Micro Devices, Inc.",Technology,0.0,83.36,83.0135,USD,111.84283,44.858696
11,AMGN,Amgen Inc.,Healthcare,0.0,232.44,234.05,USD,18.369223,13.3897705
12,AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,0.0,149.3,148.93,USD,21.560637,15.63886
13,AMT,American Tower Corporation (REI,Real Estate,0.0,239.18,238.31,USD,56.19385,43.21818
14,AES,The AES Corporation,Utilities,0.0,21.35,21.36,USD,0.0,13.787098
15,AMZN,"Amazon.com, Inc.",Consumer Cyclical,0.0,3135.66,3134.0,USD,90.797615,68.46252
16,AFL,AFLAC Incorporated,Financial Services,0.0,43.0,43.1,USD,6.742174,8.873706
17,AXP,American Express Company,Financial Services,0.0,116.48,116.94,USD,28.124077,17.025335
18,A,"Agilent Technologies, Inc.",Healthcare,0.0,109.86,109.55,USD,47.83296,28.79076
19,BA,Boeing Company (The),Industrials,0.0,210.05,223.02,USD,0.0,136.44295
20,APD,"Air Products and Chemicals, Inc",Basic Materials,0.0,266.29,266.82,USD,31.546078,25.278566
21,BAC,Bank of America Corporation,Financial Services,0.0,27.55,27.63,USD,13.290641,12.971154
22,AKAM,"Akamai Technologies, Inc.",Technology,0.0,102.45,102.83,USD,29.489885,18.355839
23,BIIB,Biogen Inc.,Healthcare,0.0,248.81,248.81,USD,7.9327145,9.472484
24,ALK,"Alaska Air Group, Inc.",Industrials,0.0,47.46,48.5,USD,0.0,-198.83334
25,BK,The Bank of New York Mellon Cor,Financial Services,0.0,39.44,39.65,USD,8.488169,9.958869
26,ALB,Albemarle Corporation,Basic Materials,0.0,127.95,127.95,USD,35.247913,31.321783
27,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,0.0,2081.25,2076.0,USD,60.694035,36.432644
28,ARE,Alexandria Real Estate Equities,Real Estate,163.06,165.29,165.43,USD,37.771324,61.798477
29,BLK,"BlackRock, Inc.",Financial Services,0.0,667.49,670.8,USD,22.247353,19.288511
30,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,0.0,127.69,127.39,USD,28.656301,9.579519
31,BMY,Bristol-Myers Squibb Company,Healthcare,0.0,64.32,64.67,USD,0.0,8.313003
32,ALGN,"Align Technology, Inc.",Healthcare,0.0,451.38,449.06,USD,20.231615,53.4387
33,ALLE,Allegion plc,Industrials,0.0,115.46,115.88,USD,35.36894,24.42644
34,LNT,Alliant Energy Corporation,Utilities,0.0,54.73,54.98,USD,19.754282,20.565893
35,CAT,"Caterpillar, Inc.",Industrials,0.0,171.91,172.04,USD,28.637268,23.406504
36,CHTR,"Charter Communications, Inc.",Communication Services,642.44,641.51,645.14,USD,50.938786,30.606956
37,GOOGL,Alphabet Inc.,Communication Services,0.0,1761.66,1756.64,USD,33.63426,28.3908
38,GOOG,Alphabet Inc.,Communication Services,0.0,1770.15,1765.23,USD,33.7529,28.481657
39,MO,"Altria Group, Inc.",Consumer Defensive,0.0,41.19,41.21,USD,104.60937,8.751634
40,COF,Capital One Financial Corporati,Financial Services,0.0,87.76,88.23,USD,41.43756,9.706349
41,AMCR,Amcor plc,Consumer Cyclical,0.0,11.93,11.94,USD,37.827477,17.411764
42,AEE,Ameren Corporation,Utilities,0.0,80.6,81.89,USD,23.096697,20.970821
43,AAL,"American Airlines Group, Inc.",Industrials,0.0,12.7,12.91,USD,0.0,-2.3680296
44,AEP,American Electric Power Company,Utilities,0.0,86.73,87.27,USD,21.78405,18.131466
45,CVX,Chevron Corporation,Energy,0.0,87.04,87.37,USD,0.0,31.330854
46,AWK,"American Water Works Company, I",Utilities,0.0,159.29,160.67,USD,42.79178,36.837265
47,AMP,"Ameriprise Financial, Inc.",Financial Services,184.73,184.23,184.5,USD,12.865263,10.078614
48,ABC,AmerisourceBergen Corporation,Healthcare,0.0,104.89,105.63,USD,0.0,11.292577
49,AME,"AMETEK, Inc.",Industrials,119.68,118.76,119.21,USD,31.544973,28.122643
50,APH,Amphenol Corporation,Technology,125.99,127.06,127.4,USD,33.19261,30.095695
51,ADI,"Analog Devices, Inc.",Technology,0.0,135.87,135.95,USD,44.558525,24.005404
52,ANSS,"ANSYS, Inc.",Technology,0.0,319.79,318.52,USD,72.28688,45.169033
53,ANTM,"Anthem, Inc.",Healthcare,0.0,329.84,331.16,USD,16.646702,12.767525
54,AON,Aon plc,Financial Services,0.0,207.19,206.2,USD,26.206184,18.970148
55,AOS,A.O. Smith Corporation,Industrials,0.0,56.38,56.38,USD,29.103556,23.835445
56,APA,Apache Corporation,Energy,0.0,11.44,11.6097,USD,0.0,122.666664
57,AIV,Apartment Investment and Manage,Real Estate,0.0,32.29,32.18,USD,30.407768,-391.5
58,AMAT,"Applied Materials, Inc.",Technology,0.0,74.15,74.69,USD,19.313774,14.1514015
59,APTV,Aptiv PLC,Consumer Cyclical,0.0,114.44,114.88,USD,17.530092,29.05303
60,ADM,Archer-Daniels-Midland Company,Consumer Defensive,0.0,49.8,50.0,USD,17.465437,13.6482
61,ANET,"Arista Networks, Inc.",Technology,0.0,277.78,278.87,USD,30.43522,27.786516
62,AJG,Arthur J. Gallagher & Co.,Financial Services,0.0,117.08,117.33,USD,28.855286,24.616203
63,AIZ,"Assurant, Inc.",Financial Services,136.2,138.59,138.74,USD,20.088875,12.639329
64,T,AT&T Inc.,Communication Services,0.0,29.03,29.05,USD,18.828949,8.888199
65,ATO,Atmos Energy Corporation,Utilities,0.0,100.05,100.61,USD,19.666666,17.875463
66,ADSK,"Autodesk, Inc.",Technology,0.0,252.71,252.39,USD,154.83119,47.409775
67,ADP,"Automatic Data Processing, Inc.",Industrials,0.0,176.15,176.15,USD,30.057281,27.355452
68,AZO,"AutoZone, Inc.",Consumer Cyclical,0.0,1124.21,1118.78,USD,15.732657,13.564066
69,AVB,"AvalonBay Communities, Inc.",Real Estate,0.0,174.12,174.96,USD,36.426117,44.051952
70,AVY,Avery Dennison Corporation,Industrials,168.0,149.44,150.16,USD,23.558643,20.648458
71,BKR,Baker Hughes Company,Energy,0.0,19.26,19.36,USD,0.0,0.0
72,BLL,Ball Corporation,Consumer Cyclical,0.0,97.14,97.5,USD,62.21649,28.823881
73,BAX,Baxter International Inc.,Healthcare,0.0,80.78,80.74,USD,45.534748,22.66476
74,BDX,"Becton, Dickinson and Company",Healthcare,0.0,242.41,242.18,USD,86.15129,17.527779
75,BBY,"Best Buy Co., Inc.",Consumer Cyclical,0.0,119.02,119.1,USD,19.044308,16.379694
76,BIO,"Bio-Rad Laboratories, Inc.",Healthcare,0.0,592.57,594.91,USD,4.961778,51.74084
77,BWA,BorgWarner Inc.,Consumer Cyclical,0.0,38.0,38.15,USD,21.795456,10.256684
78,BXP,"Boston Properties, Inc.",Real Estate,0.0,98.46,98.71,USD,15.014059,40.90213
79,BSX,Boston Scientific Corporation,Healthcare,0.0,35.03,35.21,USD,13.15163,20.638554
80,AVGO,Broadcom Inc.,Technology,0.0,380.6,379.89,USD,71.477936,14.955599
81,BR,"Broadridge Financial Solutions,",Technology,146.39,147.28,146.95,USD,36.180195,24.134108
82,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,0.0,93.55,93.22,USD,27.609987,22.00948
83,COG,Cabot Oil & Gas Corporation,Energy,0.0,17.18,17.3,USD,31.466166,8.71875
84,CDNS,"Cadence Design Systems, Inc.",Technology,0.0,113.48,113.25,USD,28.786621,38.686413
85,CPB,Campbell Soup Company,Consumer Defensive,0.0,49.38,49.49,USD,9.152669,16.23841
86,CAH,"Cardinal Health, Inc.",Healthcare,0.0,54.68,55.11,USD,16.01682,8.655845
87,KMX,CarMax Inc,Consumer Cyclical,0.0,94.73,94.53,USD,22.258993,16.516014
88,CCL,Carnival Corporation,Consumer Cyclical,0.0,18.05,17.54,USD,0.0,-4.95493
89,CARR,Carrier Global Corporation,Industrials,0.0,40.36,40.28,USD,0.0,0.0
90,CTLT,"Catalent, Inc.",Healthcare,0.0,104.97,105.0,USD,65.19595,35.08163
91,CBOE,"Cboe Global Markets, Inc.",Financial Services,0.0,86.8,87.2,USD,19.424809,18.205761
92,CBRE,CBRE Group Inc,Real Estate,0.0,60.49,60.43,USD,18.239723,18.22257
93,CDW,CDW Corporation,Technology,0.0,136.78,137.1,USD,26.771202,20.28849
94,CE,Celanese Corporation Celanese C,Basic Materials,133.32,132.41,132.91,USD,27.688633,14.558472
95,CNC,Centene Corporation,Healthcare,0.0,67.28,68.19,USD,17.486744,11.992727
96,CNP,"CenterPoint Energy, Inc (Holdin",Utilities,0.0,25.02,25.15,USD,0.0,17.463236
97,CERN,Cerner Corporation,Healthcare,0.0,74.77,74.52,USD,28.495504,22.645962
98,CF,"CF Industries Holdings, Inc.",Basic Materials,0.0,32.22,32.5,USD,24.546143,25.551182
99,SCHW,Charles Schwab Corporation (The,Financial Services,0.0,48.9,48.92,USD,22.093563,19.390244
100,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,0.0,1268.48,1265.62,USD,154.98683,60.44776
